word,frequency
arms,10
unable,10
coconut,10
raspberry,10
syrup,10
tiramisu,10
loaded,10
disney,10
tired,10
joke,10
waiters,10
selfridges,10
alcohol,10
honey,10
timely,10
requirements,10
follow,10
informative,10
rav,10
pot,10
bags,10
mid,10
curries,10
extensive,10
caribbean,10
instantly,10
belly,10
receptionist,10
additional,10
machines,10
disappoints,10
patty,10
filthy,10
showing,10
account,10
cashier,10
campus,10
line,10
meats,10
costs,10
encountered,10
unpleasant,10
strongly,10
opening,10
female,10
depth,10
approachable,10
sourdough,10
meets,10
unprofessional,10
