word,frequency,category
spots,12,other
paneer,12,other
mostly,12,other
receipt,12,other
frustrating,12,other
separate,12,other
bone,12,other
digbeth,12,other
apology,12,other
browns,12,other
bits,12,other
eventually,12,other
ceiling,12,other
fluffy,12,other
sharing,12,other
means,12,other
caramel,12,other
visits,12,other
sun,12,other
plants,12,other
pain,12,other
toasted,12,other
french,12,other
forget,12,other
complete,12,other
healthy,12,other
regarding,12,other
gardens,12,other
crisp,12,other
standing,12,other
espresso,12,other
greek,12,other
trust,12,other
played,12,other
health,12,other
accept,12,other
pret,12,other
courteous,12,other
pride,12,other
sad,12,other
piece,12,other
respectful,12,other
tasteless,12,other
monday,12,other
varied,12,other
broad,12,other
spiced,12,other
original,12,other
lobster,12,other
dismissive,12,other
spotless,12,other
tough,12,other
tier,12,other
mac,12,other
museum,12,other
independent,12,other
ignored,12,other
happily,12,other
moved,12,other
correct,12,other
flavoursome,12,other
mean,12,other
obviously,12,other
private,12,other
hardly,12,other
engaging,12,other
important,12,other
crowded,12,other
stumbled,12,other
cod,12,other
greasy,12,other
goat,12,other
basically,11,other
advise,11,other
lights,11,other
exceptionally,11,other
improve,11,other
deeply,11,other
turn,11,other
response,11,other
workers,11,other
complain,11,other
knowing,11,other
distance,11,other
culture,11,other
selling,11,other
ruined,11,other
overcooked,11,other
calamari,11,other
fridge,11,other
hotels,11,other
advised,11,other
hall,11,other
staffs,11,other
followed,11,other
base,11,other
lunchtime,11,other
consistent,11,other
anniversary,11,other
extras,11,other
cleared,11,other
surprisingly,11,other
held,11,other
situated,11,other
post,11,other
remembered,11,other
defo,11,other
read,11,other
eats,11,other
ribs,11,other
safety,11,other
charming,11,other
banana,11,other
lid,11,other
shot,11,other
wines,11,other
sea,11,other
designed,11,other
tucked,11,other
baloci,11,other
certain,11,other
total,11,other
bin,11,other
caring,11,other
spoons,11,other
helen,11,other
clinic,11,other
serious,11,other
question,11,other
mushrooms,11,other
decide,11,other
aesthetic,11,other
turkish,11,other
center,11,other
nachos,11,other
budget,11,other
tone,11,other
overly,11,other
requests,11,other
pricing,11,other
fell,11,other
assistance,11,other
floors,11,other
imagine,11,other
handy,11,other
perhaps,11,other
community,11,other
equally,11,other
grateful,11,other
attentiveness,11,other
ahead,11,other
toby,11,other
hoping,11,other
appalling,11,other
policy,11,other
stuck,11,other
sold,11,other
speaking,11,other
pie,11,other
reasons,11,other
phoned,11,other
delay,11,other
approach,11,other
coach,11,other
jacket,11,other
peak,11,other
feedback,11,other
raise,11,other
cheaper,11,other
catching,11,other
shows,11,other
theme,11,other
session,11,other
cups,11,other
pubs,11,other
july,11,other
receive,11,other
nero,11,other
fit,11,other
sick,10,other
shift,10,other
age,10,other
combination,10,other
custard,10,other
act,10,other
prompt,10,other
megan,10,other
lover,10,other
chatty,10,other
adults,10,other
bouncers,10,other
signature,10,other
aggressive,10,other
passed,10,other
dress,10,other
stepped,10,other
tandoori,10,other
mother,10,other
bothered,10,other
fillings,10,other
thick,10,other
railway,10,other
spectacular,10,other
naan,10,other
pistachio,10,other
missed,10,other
deserves,10,other
disappointment,10,other
beauty,10,other
minimum,10,other
checkout,10,other
sample,10,other
create,10,other
lacked,10,other
sugar,10,other
ample,10,other
thinking,10,other
tom,10,other
screens,10,other
become,10,other
boy,10,other
fancy,10,other
aware,10,other
charging,10,other
reserved,10,other
towards,10,other
architecture,10,other
pulled,10,other
dealt,10,other
hopefully,10,other
respect,10,other
carvery,10,other
reliable,10,other
appealing,10,other
inn,10,other
appeared,10,other
reply,10,other
topped,10,other
smart,10,other
cajun,10,other
study,10,other
neither,10,other
bursting,10,other
tofu,10,other
stir,10,other
thursday,10,other
finishing,10,other
improved,10,other
answered,10,other
ballet,10,other
pots,10,other
details,10,other
plain,10,other
celebration,10,other
arms,10,other
unable,10,other
coconut,10,other
raspberry,10,other
syrup,10,other
tiramisu,10,other
loaded,10,other
disney,10,other
tired,10,other
joke,10,other
waiters,10,other
selfridges,10,other
alcohol,10,other
honey,10,other
timely,10,other
requirements,10,other
follow,10,other
informative,10,other
rav,10,other
pot,10,other
bags,10,other
mid,10,other
curries,10,other
extensive,10,other
caribbean,10,other
instantly,10,other
belly,10,other
receptionist,10,other
additional,10,other
machines,10,other
disappoints,10,other
patty,10,other
filthy,10,other
showing,10,other
account,10,other
cashier,10,other
campus,10,other
line,10,other
meats,10,other
costs,10,other
encountered,10,other
unpleasant,10,other
strongly,10,other
opening,10,other
female,10,other
depth,10,other
approachable,10,other
sourdough,10,other
meets,10,other
unprofessional,10,other
